    Time,sec      Abs(UY,mm)      Abs(UZ,mm)   Phase(UY,deg)   Phase(UZ,deg)       Freqz(Hz)=189.16       Freqy(Hz)=189.16
    0.010850        0.007741        0.007741       48.552152          -41.45       39.16        1.56
    0.010900        0.007749        0.007749       48.825517          -41.17       39.21        1.56
    0.010950        0.007757        0.007757       49.099318          -40.90       39.26        1.56
    0.011000        0.007765        0.007765       49.373553          -40.63       39.30        1.56
    0.011050        0.007773        0.007773       49.648222          -40.35       39.34        1.56
    0.011100        0.007781        0.007781       49.923324          -40.08       39.39        1.56
    0.011150        0.007788        0.007788       50.198859          -39.80       39.43        1.56
    0.011200        0.007796        0.007796       50.474827          -39.53       39.47        1.56
    0.011250        0.007803        0.007803       50.751226          -39.25       39.52        1.56
    0.011300        0.007810        0.007810       51.028057          -38.97       39.56        1.56
    0.011350        0.007817        0.007817       51.305318          -38.69       39.60        1.56
    0.011400        0.007824        0.007824       51.583009          -38.42       39.64        1.56
    0.011450        0.007831        0.007831       51.861129          -38.14       39.68        1.57
    0.011500        0.007838        0.007838       52.139679          -37.86       39.71        1.57
    0.011550        0.007845        0.007845       52.418656          -37.58       39.75        1.57
    0.011600        0.007851        0.007851       52.698061          -37.30       39.79        1.57
    0.011650        0.007858        0.007858       52.977893          -37.02       39.82        1.57
    0.011700        0.007864        0.007864       53.258151          -36.74       39.86        1.57
    0.011750        0.007870        0.007870       53.538835          -36.46       39.90        1.57
    0.011800        0.007876        0.007876       53.819944          -36.18       39.93        1.57
    0.011850        0.007882        0.007882       54.101477          -35.90       39.96        1.57
    0.011900        0.007888        0.007888       54.383434          -35.62       40.00        1.57
    0.011950        0.007894        0.007894       54.665813          -35.33       40.03        1.57
    0.012000        0.007899        0.007899       54.948615          -35.05       40.06        1.57
    0.012050        0.007905        0.007905       55.231839          -34.77       40.09        1.57
    0.012100        0.007910        0.007910       55.515483          -34.48       40.13        1.57
    0.012150        0.007916        0.007916       55.799548          -34.20       40.16        1.57
    0.012200        0.007921        0.007921       56.084032          -33.92       40.19        1.57
    0.012250        0.007926        0.007926       56.368934          -33.63       40.22        1.57
    0.012300        0.007931        0.007931       56.654255          -33.35       40.24        1.57
    0.012350        0.007936        0.007936       56.939993          -33.06       40.27        1.57
    0.012400        0.007941        0.007941       57.226147          -32.77       40.30        1.57
    0.012450        0.007946        0.007946       57.512717          -32.49       40.33        1.57
    0.012500        0.007950        0.007950       57.799702          -32.20       40.35        1.57
    0.012550        0.007955        0.007955       58.087101          -31.91       40.38        1.57
    0.012600        0.007960        0.007960       58.374913          -31.63       40.41        1.57
