    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       84.00      0.0039      -90.00       84.00      0.0000       90.00       84.00      0.0000       90.00       84.00      0.0000       90.00       84.00      0.0019      -90.00       84.00      0.0000       90.00       84.00      0.0000       90.00       84.00      0.0000       90.00       84.00      0.0013      -90.00
       85.00      0.0038      -90.00       85.00      0.0000       90.00       85.00      0.0000       90.00       85.00      0.0000       90.00       85.00      0.0019      -90.00       85.00      0.0000       90.00       85.00      0.0000       90.00       85.00      0.0000       90.00       85.00      0.0013      -90.00
       86.00      0.0038      -90.00       86.00      0.0000       90.00       86.00      0.0000       90.00       86.00      0.0000       90.00       86.00      0.0019      -90.00       86.00      0.0000       90.00       86.00      0.0000       90.00       86.00      0.0000       90.00       86.00      0.0012      -90.00
       87.00      0.0037      -90.00       87.00      0.0000       90.00       87.00      0.0000       90.00       87.00      0.0000       90.00       87.00      0.0018      -90.00       87.00      0.0000       90.00       87.00      0.0000       90.00       87.00      0.0000       90.00       87.00      0.0012      -90.00
       88.00      0.0037      -90.00       88.00      0.0000       90.00       88.00      0.0000       90.00       88.00      0.0000       90.00       88.00      0.0018      -90.00       88.00      0.0000       90.00       88.00      0.0000       90.00       88.00      0.0000       90.00       88.00      0.0012      -90.00
       89.00      0.0036      -90.00       89.00      0.0000       90.00       89.00      0.0000       90.00       89.00      0.0000       90.00       89.00      0.0018      -90.00       89.00      0.0000       90.00       89.00      0.0000       90.00       89.00      0.0000       90.00       89.00      0.0012      -90.00
       90.00      0.0036      -90.00       90.00      0.0000       90.00       90.00      0.0000       90.00       90.00      0.0000       90.00       90.00      0.0018      -90.00       90.00      0.0000       90.00       90.00      0.0000       90.00       90.00      0.0000       90.00       90.00      0.0012      -90.00
       91.00      0.0036      -90.00       91.00      0.0000       90.00       91.00      0.0000       90.00       91.00      0.0000       90.00       91.00      0.0018      -90.00       91.00      0.0000       90.00       91.00      0.0000       90.00       91.00      0.0000       90.00       91.00      0.0012      -90.00
       92.00      0.0035      -90.00       92.00      0.0000       90.00       92.00      0.0000       90.00       92.00      0.0000       90.00       92.00      0.0017      -90.00       92.00      0.0000       90.00       92.00      0.0000       90.00       92.00      0.0000       90.00       92.00      0.0012      -90.00
       93.00      0.0035      -90.00       93.00      0.0000       90.00       93.00      0.0000       90.00       93.00      0.0000       90.00       93.00      0.0017      -90.00       93.00      0.0000       90.00       93.00      0.0000       90.00       93.00      0.0000       90.00       93.00      0.0011      -90.00
       94.00      0.0034      -90.00       94.00      0.0000       90.00       94.00      0.0000       90.00       94.00      0.0000       90.00       94.00      0.0017      -90.00       94.00      0.0000       90.00       94.00      0.0000       90.00       94.00      0.0000       90.00       94.00      0.0011      -90.00
       95.00      0.0034      -90.00       95.00      0.0000       90.00       95.00      0.0000       90.00       95.00      0.0000       90.00       95.00      0.0017      -90.00       95.00      0.0000       90.00       95.00      0.0000       90.00       95.00      0.0000       90.00       95.00      0.0011      -90.00
       96.00      0.0034      -90.00       96.00      0.0000       90.00       96.00      0.0000       90.00       96.00      0.0000       90.00       96.00      0.0017      -90.00       96.00      0.0000       90.00       96.00      0.0000       90.00       96.00      0.0000       90.00       96.00      0.0011      -90.00
       97.00      0.0033      -90.00       97.00      0.0000       90.00       97.00      0.0000       90.00       97.00      0.0000       90.00       97.00      0.0017      -90.00       97.00      0.0000       90.00       97.00      0.0000       90.00       97.00      0.0000       90.00       97.00      0.0011      -90.00
       98.00      0.0033      -90.00       98.00      0.0000       90.00       98.00      0.0000       90.00       98.00      0.0000       90.00       98.00      0.0016      -90.00       98.00      0.0000       90.00       98.00      0.0000       90.00       98.00      0.0000       90.00       98.00      0.0011      -90.00
       99.00      0.0033      -90.00       99.00      0.0000       90.00       99.00      0.0000       90.00       99.00      0.0000       90.00       99.00      0.0016      -90.00       99.00      0.0000       90.00       99.00      0.0000       90.00       99.00      0.0000       90.00       99.00      0.0011      -90.00
      100.00      0.0032      -90.00      100.00      0.0000       90.00      100.00      0.0000       90.00      100.00      0.0000       90.00      100.00      0.0016      -90.00      100.00      0.0000       90.00      100.00      0.0000       90.00      100.00      0.0000       90.00      100.00      0.0011      -90.00
      101.00      0.0032      -90.00      101.00      0.0000       90.00      101.00      0.0000       90.00      101.00      0.0000       90.00      101.00      0.0016      -90.00      101.00      0.0000       90.00      101.00      0.0000       90.00      101.00      0.0000       90.00      101.00      0.0011      -90.00
      102.00      0.0032      -90.00      102.00      0.0000       90.00      102.00      0.0000       90.00      102.00      0.0000       90.00      102.00      0.0016      -90.00      102.00      0.0000       90.00      102.00      0.0000       90.00      102.00      0.0000       90.00      102.00      0.0010      -90.00
      103.00      0.0031      -90.00      103.00      0.0000       90.00      103.00      0.0000       90.00      103.00      0.0000       90.00      103.00      0.0016      -90.00      103.00      0.0000       90.00      103.00      0.0000       90.00      103.00      0.0000       90.00      103.00      0.0010      -90.00
      104.00      0.0031      -90.00      104.00      0.0000       90.00      104.00      0.0000       90.00      104.00      0.0000       90.00      104.00      0.0015      -90.00      104.00      0.0000       90.00      104.00      0.0000       90.00      104.00      0.0000       90.00      104.00      0.0010      -90.00
      105.00      0.0031      -90.00      105.00      0.0000       90.00      105.00      0.0000       90.00      105.00      0.0000       90.00      105.00      0.0015      -90.00      105.00      0.0000       90.00      105.00      0.0000       90.00      105.00      0.0000       90.00      105.00      0.0010      -90.00
