    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       95.00      0.0000     -180.00       95.00      0.0000        0.00       95.00      0.0000        0.00       95.00      0.0000        0.00       95.00      0.0000     -180.00       95.00      0.0000        0.00       95.00      0.0000        0.00       95.00      0.0000        0.00       95.00      0.0000     -180.00
       96.00      0.0000     -180.00       96.00      0.0000        0.00       96.00      0.0000        0.00       96.00      0.0000        0.00       96.00      0.0000     -180.00       96.00      0.0000        0.00       96.00      0.0000        0.00       96.00      0.0000        0.00       96.00      0.0000     -180.00
       97.00      0.0000     -180.00       97.00      0.0000        0.00       97.00      0.0000        0.00       97.00      0.0000        0.00       97.00      0.0000     -180.00       97.00      0.0000        0.00       97.00      0.0000        0.00       97.00      0.0000        0.00       97.00      0.0000     -180.00
       98.00      0.0000     -180.00       98.00      0.0000        0.00       98.00      0.0000        0.00       98.00      0.0000        0.00       98.00      0.0000     -180.00       98.00      0.0000        0.00       98.00      0.0000        0.00       98.00      0.0000        0.00       98.00      0.0000     -180.00
       99.00      0.0000     -180.00       99.00      0.0000        0.00       99.00      0.0000        0.00       99.00      0.0000        0.00       99.00      0.0000     -180.00       99.00      0.0000        0.00       99.00      0.0000        0.00       99.00      0.0000        0.00       99.00      0.0000     -180.00
      100.00      0.0000     -180.00      100.00      0.0000        0.00      100.00      0.0000        0.00      100.00      0.0000        0.00      100.00      0.0000     -180.00      100.00      0.0000        0.00      100.00      0.0000        0.00      100.00      0.0000        0.00      100.00      0.0000     -180.00
      101.00      0.0000     -180.00      101.00      0.0000        0.00      101.00      0.0000        0.00      101.00      0.0000        0.00      101.00      0.0000     -180.00      101.00      0.0000        0.00      101.00      0.0000        0.00      101.00      0.0000        0.00      101.00      0.0000     -180.00
      102.00      0.0000     -180.00      102.00      0.0000        0.00      102.00      0.0000        0.00      102.00      0.0000        0.00      102.00      0.0000     -180.00      102.00      0.0000        0.00      102.00      0.0000        0.00      102.00      0.0000        0.00      102.00      0.0000     -180.00
      103.00      0.0000     -180.00      103.00      0.0000        0.00      103.00      0.0000        0.00      103.00      0.0000        0.00      103.00      0.0000     -180.00      103.00      0.0000        0.00      103.00      0.0000        0.00      103.00      0.0000        0.00      103.00      0.0000     -180.00
      104.00      0.0000     -180.00      104.00      0.0000        0.00      104.00      0.0000        0.00      104.00      0.0000        0.00      104.00      0.0000     -180.00      104.00      0.0000        0.00      104.00      0.0000        0.00      104.00      0.0000        0.00      104.00      0.0000     -180.00
      105.00      0.0000     -180.00      105.00      0.0000        0.00      105.00      0.0000        0.00      105.00      0.0000        0.00      105.00      0.0000     -180.00      105.00      0.0000        0.00      105.00      0.0000        0.00      105.00      0.0000        0.00      105.00      0.0000     -180.00
