           Mode#,   Frequency(Hz),              T1,              T2,              T3,              R1,              R2,              R3,
             287,          1619.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             288,          1625.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             289,          1630.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             290,          1635.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             291,          1636.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             292,          1637.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             293,          1640.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             294,          1642.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             295,          1645.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             296,          1646.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             297,          1647.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             298,          1653.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             299,          1660.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             300,          1666.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             301,          1667.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             302,          1673.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             303,          1676.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             304,          1679.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             305,          1687.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             306,          1693.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             307,          1697.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             308,          1703.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             309,          1705.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             310,          1707.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             311,          1716.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             312,          1727.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             313,          1734.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             314,          1736.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             315,          1739.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             316,          1739.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             317,          1740.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             318,          1744.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             319,          1749.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             320,          1752.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             321,          1757.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             322,          1760.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             323,          1768.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             324,          1770.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             325,          1773.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             326,          1775.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             327,          1776.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             328,          1784.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             329,          1789.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             330,          1793.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             331,          1796.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             332,          1797.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             333,          1802.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             334,          1805.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             335,          1806.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             336,          1807.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             337,          1812.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             338,          1819.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             339,          1823.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             340,          1825.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             341,          1832.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             342,          1834.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             343,          1835.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             344,          1844.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             345,          1845.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             346,          1850.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             347,          1852.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             348,          1853.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
